18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18936109-1448	<mark style="background-color:lightblue;" id="1367">1-Aminobenzotriazole</mark> (1- <mark style="background-color:lightgreen;" id="P27080">ABT</mark> ) is generally considered to be a nonselective mechanism-based inactivator of both human and non-human <mark style="background-color:lightgreen;" id="O08469">cytochrome P450</mark> (P450) enzymes.
18936140-1459	<mark style="background-color:lightblue;" id="91474">7-Ketocholesterol</mark> is present in lipid deposits in the primate retina: potential implication in the induction of <mark style="background-color:lightgreen;" id="P15691,P15692,P26617,P49151,P50412,P67964,P67965,Q99PS1,Q9GKR0,Q9MYV3">VEGF</mark> and CNV formation.
18854222-1462	Treatment of <mark style="background-color:lightgreen;" id="O14105,P46969,Q43157,Q43843,Q5R5Y2,Q6FL81,Q755M2,Q8SRP6,Q96AT9,Q9ZTP5">RPE</mark> cells with high <mark style="background-color:lightblue;" id="206,64689">glucose</mark>-induced a significant increased of <mark style="background-color:lightgreen;" id="O19114,O46660,O54705,O62699,P29477,P35228,P79290,Q06518,Q27995,Q28314,Q90703,Q92037,Q92091">iNOS</mark> , accompanied by an increase in cell damage, NO and nitrotyrosine levels.
18854222-1464	High <mark style="background-color:lightblue;" id="206,64689">glucose</mark> causes increased cell damage and NO generation in <mark style="background-color:lightgreen;" id="O14105,P46969,Q43157,Q43843,Q5R5Y2,Q6FL81,Q755M2,Q8SRP6,Q96AT9,Q9ZTP5">RPE</mark> cells by a process of <mark style="background-color:lightgreen;" id="O19114,O46660,O54705,O62699,P29477,P35228,P79290,Q06518,Q27995,Q28314,Q90703,Q92037,Q92091">iNOS</mark> expression that requires the activation of <mark style="background-color:lightgreen;" id="O62618">p38MAPK</mark> and <mark style="background-color:lightgreen;" id="P29323">ERK</mark> .
18829677-1475	Moreover, both lung and plasma concentrations of the pro-inflammatory cytokines tumour necrosis factor-alpha and <mark style="background-color:lightgreen;" id="Q9TTB0">interferon-gamma</mark> were higher in <mark style="background-color:lightblue;" id="942,89594,157672">nicotine</mark>-treated animals at this time-point.
18936181-1478	ETEC infection also caused a drastic inhibition of <mark style="background-color:yellow;" id="GO:0018995,cellular_component">host</mark>  <mark style="background-color:lightgreen;" id="P16397,P18773">esterase</mark> activity, as measured by <mark style="background-color:lightblue;" id="65079">calcein</mark> fluorescence.
18829704-1496	Therefore, the <mark style="background-color:lightblue;" id="26623">Hg(2</mark>+)-sensitive <mark style="background-color:lightgreen;" id="O94778,Q5I4F8">AQP8</mark> , which was localized in elongated spermatids and spermatozoa, is a likely candidate for a water channel responsible for physiological sperm volume regulation crucial to in vivo <mark style="background-color:yellow;" id="GO:0007338,GO:0009566,biological_process">fertilization</mark> .
18945988-1510	<mark style="background-color:lightblue;" id="6804">CpG</mark> dinucleotides identified in <mark style="background-color:lightgreen;" id="O35185,O35780">Bhlhb2</mark> , <mark style="background-color:lightgreen;" id="O88275,P37234,P37238">Pparg</mark> , <mark style="background-color:lightgreen;" id="Q27368">E2f</mark> , and <mark style="background-color:lightgreen;" id="P08046,P08154,P26632">Egr1</mark>  <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> sites at the <mark style="background-color:lightgreen;" id="P09216,P16054">Prkce</mark> gene promoter were densely methylated in males and females and were unaffected by cocaine exposure.
18821579-1511	Induction of <mark style="background-color:yellow;" id="GO:0006914,biological_process">autophagy</mark> in malignant rhabdoid tumor cells by the <mark style="background-color:lightgreen;" id="O22446">histone deacetylase</mark> inhibitor <mark style="background-color:lightblue;" id="5352062">FK228</mark> through <mark style="background-color:lightgreen;" id="O95831">AIF</mark> translocation.
18821579-1513	<mark style="background-color:lightblue;" id="5352062">FK228</mark> converted unconjugated <mark style="background-color:yellow;" id="GO:0005874,cellular_component">microtubule</mark> -associated protein light <mark style="background-color:lightgreen;" id="Q00285">chain 3</mark> ( <mark style="background-color:lightgreen;" id="P82160">LC3</mark> -I) to conjugated light <mark style="background-color:lightgreen;" id="Q00285">chain 3</mark> ( <mark style="background-color:lightgreen;" id="P82160">LC3</mark> -II) and induced <mark style="background-color:yellow;" id="GO:0051179,biological_process">localization</mark> of <mark style="background-color:lightgreen;" id="P82160">LC3</mark> to <mark style="background-color:yellow;" id="GO:0005776,cellular_component">autophagosomes</mark> .
18821579-1514	<mark style="background-color:lightgreen;" id="O95831,Q9JM53,Q9Z0X1">Apoptosis inducing factor</mark> ( <mark style="background-color:lightgreen;" id="O95831">AIF</mark> ), which plays a role in caspase-independent <mark style="background-color:yellow;" id="GO:0008219,biological_process">cell death</mark> , translocated to the <mark style="background-color:yellow;" id="GO:0005634,cellular_component">nucleus</mark> in response to <mark style="background-color:lightblue;" id="5352062">FK228</mark> treatment.
18854368-1518	In this study, we describe the crystal structure of yeast <mark style="background-color:lightgreen;" id="O74739,Q02890,Q4R6F3,Q503I8,Q59Q38,Q5XI55,Q5ZJM3,Q6BNI6,Q6CAX5,Q6CLZ6,Q6FRU8,Q75D29,Q7KRR5,Q96IV0,Q9JI78">PNGase</mark> in complex with <mark style="background-color:lightblue;" id="439544">N,N'-diacetylchitobiose</mark> (<mark style="background-color:lightblue;" id="439544">chitobiose</mark>).
18854368-1519	<mark style="background-color:yellow;" id="GO:0006280,biological_process">Mutagenesis</mark> studies confirm the critical role of the <mark style="background-color:lightblue;" id="439544">chitobiose</mark>-interacting residues in substrate <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> and suggest that efficient oligosaccharide <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> is required for <mark style="background-color:lightgreen;" id="O74739,Q02890,Q4R6F3,Q503I8,Q59Q38,Q5XI55,Q5ZJM3,Q6BNI6,Q6CAX5,Q6CLZ6,Q6FRU8,Q75D29,Q7KRR5,Q96IV0,Q9JI78">PNGase</mark> activity.
18854379-1521	Prediction of the effect of <mark style="background-color:lightblue;" id="12560">erythromycin</mark>, <mark style="background-color:lightblue;" id="39186">diltiazem</mark>, and their metabolites, alone and in combination, on <mark style="background-color:lightgreen;" id="P08684">CYP3A4</mark> inhibition.
18854401-1524	Previous studies have suggested a regulatory relationship between serum <mark style="background-color:lightblue;" id="24404,139579">phosphorus</mark>, <mark style="background-color:lightblue;" id="5280795">vitamin D</mark>, and fibroblast growth factor 23 ( <mark style="background-color:lightgreen;" id="Q5MK86,Q9GZV9">FGF23</mark> ), a hormone that promotes renal <mark style="background-color:yellow;" id="GO:0007588,biological_process">excretion</mark> of phosphate.
18854401-1525	This condition is caused by mutations in the <mark style="background-color:lightgreen;" id="O27732,O28185,O66677,O74017,O74806,O83975,O84806,O85235,P01268,P01269,P01270,P04089,P0A281,P0A282,P0A7D1,P0A7D2,P0A7D3,P15743,P37470,P38876,P44682,P47329,P47714,P49607,P52212,P56077,P57287,P57820,P59490,P61234,P61235,P61414,P65863,P65864,P65865,P65866,P65867,P65868,P65869,P78034,Q27IM2,Q57NM8,Q59989,Q5F9L4,Q5FFA3,Q5FMA9,Q5FRT7,Q5GTI9,Q5GWR6,Q5HC85,Q5HIH3,Q5HRQ3,Q5HWF9,Q5JDB8,Q5L3U7,Q5LV91,Q5M222,Q5M6L4,Q5N2J4,Q5NGZ6,Q5NL75,Q5P722,Q5P9A6,Q5PCR7,Q5QV03,Q5SHZ2,Q5V1D3,Q5WAD6,Q5WTE7,Q5X1N7,Q5XEM3,Q5YPZ6,Q5ZS66,Q601M5,Q60363,Q60A14,Q62FC1,Q63HI2,Q63XM0,Q64X30,Q65PG8,Q65V47,Q65ZY7,Q66AY1,Q67JD0,Q68WD4,Q6AAC7,Q6ADQ8,Q6AJL9,Q6D557,Q6F240,Q6F8I7,Q6G0F9,Q6G2L1,Q6GBY6,Q6GJG9,Q6HPW6,Q6KHA3,Q6LNA9,Q6MJR3,Q6MS28,Q6N1P9,Q6NI78,Q6YP15,Q6YR64,Q724K0,Q72BR1,Q72IA8,Q72RZ0,Q73FF7,Q73II8,Q73Q01,Q741V9,Q74FE6,Q74LA8,Q7M7U8,Q7MMZ2,Q7MXK9,Q7N5A1,Q7NN75,Q7NQT1,Q7U9I5,Q7UKV0,Q7V342,Q7V4V4,Q7VDT7,Q7VG29,Q7VMI1,Q7VUH3,Q7W179,Q7WNY2,Q81J96,Q81VY9,Q821W6,Q82HE5,Q82TQ6,Q839C0,Q83AP0,Q83FR1,Q83HD8,Q83LE1,Q86Y79,Q877G5,Q87A24,Q87RN9,Q888C8,Q88PX8,Q88Z39,Q899I4,Q89DJ9,Q89YZ2,Q8BW00,Q8CQU9,Q8CXP8,Q8D2K4,Q8DFF4,Q8DJ45,Q8DRQ2,Q8DWN5,Q8E2I1,Q8E7Y8,Q8EHN5,Q8EWQ8,Q8F3Q2,Q8FQV6,Q8G5I6,Q8K8Z7,Q8K9V3,Q8KD05,Q8P327,Q8PC61,Q8PNT8,Q8Q0M4,Q8R757,Q8RIJ5,Q8RLD7,Q8TKX4,Q8TV04,Q8U0N0,Q8UD97,Q8XHJ8,Q8Y2E3,Q8YAD1,Q8YYK4,Q8ZEY4,Q8ZYM4,Q92F62,Q92H41,Q92N67,Q976I0,Q97CB4,Q97E97,Q97TD1,Q980V1,Q98HV6,Q98PE2,Q9A206,Q9AAV9,Q9AEQ5,Q9CD49,Q9CJI1,Q9F8Q3,Q9GL67,Q9HLW6,Q9HVC3,Q9J5H2,Q9JV42,Q9K029,Q9K3T8,Q9KGJ3,Q9KQ21,Q9PA78,Q9PII7,Q9PR67,Q9RRW3,Q9V108,Q9X1W1,Q9XT35,Q9YBD6,Q9Z6V6,Q9ZCV4,Q9ZJC3">PTH</mark> / <mark style="background-color:lightgreen;" id="P12272,P13085,P17251,P22858,P52211,P58073,Q9GK30,Q9GLC7,Q9GMB7">PTHrP</mark> receptor that result in ligand-independent <mark style="background-color:lightblue;" id="6076">cAMP</mark> accumulation, thus rendering the receptor constitutively active.
18838089-1541	An enzymatic reaction between <mark style="background-color:lightblue;" id="784">hydrogen peroxide</mark> and <mark style="background-color:lightgreen;" id="O24339,O52762,O62839,O68146,O77229,O93662,O97492,P00432,P04040,P04762,P07145,P0A323,P0A324,P0A325,P0A326,P0A327,P11934,P17336,P24168,P24270,P25890,P29422,P30265,P30266,P32290,P42321,P44390,P45737,P45739,P55304,P55306,P55310,P55311,P55313,P77872,P81138,P90682,Q27710,Q49XC1,Q4L643,Q59296,Q59337,Q59602,Q59714,Q5HG86,Q5HPK8,Q5RF10,Q64405,Q6G9M4,Q6GH72,Q7A5T2,Q8CPD0,Q8FWU0,Q8NWV5,Q8X1P0,Q8Y3P9,Q926X0,Q99UE2,Q9AXH0,Q9KW19,Q9L4S1,Q9M5L6,Q9PT92,Q9PWF7,Q9Z598,Q9ZKX5,Q9ZN99">catalase</mark> produced oxygen bubbles and thus many internal <mark style="background-color:yellow;" id="GO:0046930,cellular_component">pores</mark> within microsphere were naturally developed.
18846314-1555	<mark style="background-color:lightgreen;" id="O02033,O13257,O18842,O42152,O93571,P02807,P04358,P07216,P08002,P23038,P25127,P25128,P30331,P30565,P51902,P52723,P52725,P52726,P52728,P55945,P55946,P55948,P55951,P55952,P55953,P68494,P68495,P68497,P68498,P68499,P80367,P80593,P84865,Q05890,Q6J1T3,Q6S4N8,Q6XUW5,Q708T3,Q7ZZP9,Q800D3,Q8UVY1,Q94550,Q9IB50,Q9U568">Metallothioneins</mark> (MTs) are <mark style="background-color:lightblue;" id="594,5862,5360637">cysteine</mark>-rich, <mark style="background-color:yellow;" id="GO:0046872,molecular_function">metal-binding</mark> proteins that are useful biomarkers for monitoring pollution by heavy metals.
18846314-1558	The deduced amino acid sequence has 18 <mark style="background-color:lightblue;" id="594,5862,5360637">cysteine</mark> residues, implying that S. henanense <mark style="background-color:lightgreen;" id="Q8WSW3">CdMT</mark> binds six equivalents of bivalent metal ions (Cd) as opposed to the seven in its mammalian counterparts.
18846318-1561	Treatment of Platelet Rich Plasma ( <mark style="background-color:lightgreen;" id="O18754,O46501,P04003,P04156,P04273,P04769,P10279,P23907,P32119,P34760,P40244,P40245,P40246,P40247,P40248,P40249,P40251,P40252,P40255,P40256,P40257,P40258,P47852,P49927,P51446,P51780,P52113,P52114,P61761,P61762,P61766,P61767,P61768,P67986,P67987,P67988,P67989,P67990,P67991,P67992,P67993,P67994,P67995,P67996,P67997,P79141,Q40358,Q5UAF1,Q5UJG1,Q5UJG3,Q5UJG7,Q5UJH0,Q5UJH8,Q5UJI7,Q5XVM4,Q60468,Q60506,Q68G95,Q6EH52,Q7JIH3,Q7JIY2,Q7JK02,Q95174,Q95176,Q95211,Q95270,Q95M08,Q9Z0T3">PRP</mark> ) with the dialyzed supernatant from the leucocyte suspension incubated with 80 microM <mark style="background-color:lightblue;" id="2244">aspirin</mark> resulted in parallel syntheses of NO and <mark style="background-color:lightgreen;" id="P35849">IFN-alpha</mark> as determined by methemoglobin assay and enzyme linked immunosorbent assay respectively.
18846383-1582	Muscular oxidative stress and inflammation induced by <mark style="background-color:lightblue;" id="784">H2O2</mark> or MS were assessed by measurements of isoprostanes and <mark style="background-color:lightgreen;" id="O35736,P05231,P08505,P20607,P26892,P26893,P29455,P41323,P41683,P41693,P46650,P51494,P79341,Q25BC2,Q28319,Q28747,Q28819,Q2MH06,Q5I6E3,Q6V919,Q865W7,Q865X6,Q8MKH0,Q95181,Q9MZR1,Q9XT80">IL-6</mark> levels.
18846383-1585	<mark style="background-color:lightblue;" id="784">H2O2</mark> injection and MS elicited significant and similar increases in isoprostanes and <mark style="background-color:lightgreen;" id="O35736,P05231,P08505,P20607,P26892,P26893,P29455,P41323,P41683,P41693,P46650,P51494,P79341,Q25BC2,Q28319,Q28747,Q28819,Q2MH06,Q5I6E3,Q6V919,Q865W7,Q865X6,Q8MKH0,Q95181,Q9MZR1,Q9XT80">IL-6</mark> .
18851956-1598	This study investigated the effects of atorvastatin on <mark style="background-color:lightgreen;" id="P08183,P21448">ABCB1</mark> and <mark style="background-color:lightgreen;" id="P33527,Q5F364">ABCC1</mark> mRNA expression on peripheral blood mononuclear cells (PBMC) and their relationship with gene polymorphisms and lowering-<mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> response.
18936517-1603	Here, we show that 12-O-tetradecanoyl-<mark style="background-color:lightblue;" id="499953,54612241">phorbol-13-acetate</mark> ( <mark style="background-color:lightgreen;" id="P00750,P11214,P19637,Q28198">TPA</mark> )-induced stabilization of receptor mRNA requires the activity of <mark style="background-color:lightgreen;" id="P13678,Q25378">protein kinase C</mark> and is accompanied by activation of the major <mark style="background-color:lightgreen;" id="Q00859">mitogen activated protein kinase</mark> pathways.
18821853-1612	Furthermore, the effect of <mark style="background-color:lightblue;" id="445228">HBO</mark> on <mark style="background-color:lightgreen;" id="P89113,Q16832">DDR2</mark> has not been reported previously.
18821853-1613	In the present study, we investigated the cellular and molecular mechanisms of <mark style="background-color:lightgreen;" id="P89113,Q16832">DDR2</mark> regulation by <mark style="background-color:lightblue;" id="445228">HBO</mark> in VSMCs (vascular SMCs).
18838266-1623	We present a robust and simple method for the direct detection of multiple point mutations in the Mycobacterium tuberculosis <mark style="background-color:lightgreen;" id="O52271,O67762,O78485,O83269,O84317,O86094,O87903,P06173,P06271,P06272,P08036,P0A680,P0A681,P0A8V2,P0A8V3,P0A8V4,P0A8V5,P0C151,P11513,P11703,P12091,P16023,P19175,P21421,P22703,P23579,P27059,P29398,P30760,P31814,P36251,P36440,P37870,P41184,P41187,P41557,P41607,P43738,P46818,P47583,P47715,P47767,P47768,P48119,P49466,P50546,P51252,P56299,P56869,P57009,P57146,P59642,P59643,P60278,P60279,P60280,P60281,P60282,P60283,P77941,P77965,P78013,Q03587,Q1XDN5,Q20EX1,Q2FJ98,Q2GCD7,Q2GD90,Q2GJ68,Q2II86,Q2JFI5,Q2JJ19,Q2JX64,Q2L2M3,Q2L8Z9,Q2LQ87,Q2MIA8,Q2MIJ5,Q2NJ15,Q2NWR6,Q2NZX8,Q2RFN9,Q2RQV3,Q2S1Q5,Q2S905,Q2ST48,Q2SU19,Q2VEI4,Q2W2I1,Q2YB05,Q2YM15,Q2YSB9,Q30TP7,Q30X05,Q318Q7,Q31IY9,Q31N17,Q31U10,Q32AF9,Q32RG0,Q32RW5,Q33C46,Q38UQ2,Q39KH5,Q39Y13,Q3A6Q4,Q3A9Q7,Q3AHX5,Q3ATP5,Q3AZA4,Q3B1H7,Q3BAP8,Q3BWZ1,Q3C1G7,Q3ILP9,Q3J5T0,Q3J8Q7,Q3JMQ3,Q3K3L2,Q3K5Y1,Q3KM47,Q3M5D0,Q3SLQ6,Q3SSY0,Q3V542,Q3YST5,Q3YUZ7,Q3Z8V4,Q3ZJ93,Q3ZX01,Q46124,Q46J22,Q46WD4,Q47JB0,Q47LI5,Q47UV9,Q48D29,Q48VR1,Q492B9,Q49L06,Q49V52,Q4A5S7,Q4A7A9,Q4A969,Q4FLL2,Q4FQH3,Q4G3A7,Q4JT32,Q4K526,Q4L3K3,Q4MY95,Q4QN33,Q4UKD4,Q4URD2,Q4VZP1,Q4ZMN7,Q50388,Q51561,Q56P13,Q57CP8,Q57H69,Q589C0,Q59191,Q59622,Q5E238,Q5F5R5,Q5FFD9,Q5FM97,Q5FTX7,Q5GWS6,Q5HC05,Q5HID3,Q5HRL0,Q5HVY9,Q5L405,Q5L5I3,Q5L897,Q5LMQ5,Q5LXV3,Q5M2F5,Q5MZ23,Q5NID2,Q5NPK5,Q5P339,Q5PBG4,Q5PK93,Q5QA72,Q5QWA5,Q5SCX8,Q5WLS0,Q5WZL9,Q5X866,Q5XE97,Q5ZYQ0,Q5ZZS1,Q60A06,Q63H98,Q63Q03,Q64NJ7,Q65PB5,Q65W41,Q661M9,Q66FQ2,Q67JT3,Q68S14,Q6A6K6,Q6ACX5,Q6AP78,Q6B8R8,Q6DAN0,Q6ENI4,Q6ENX3,Q6EW56,Q6F0L7,Q6FF90,Q6GBU5,Q6GJC6,Q6HPR6,Q6KI09,Q6L3A7,Q6LLW2,Q6MDM1,Q6MJ09,Q6MRX6,Q6N4R9,Q6YQW3,Q724F0,Q727C7,Q72HM5,Q72UA8,Q73FA4,Q73JJ7,Q73SE4,Q748Y6,Q74L95,Q7MGR8,Q7MX27,Q7N9A4,Q7NIA0,Q7NQE6,Q7U8K4,Q7URW6,Q7V006,Q7V5P1,Q7VA29,Q7VKL7,Q7VRP7,Q7W0R9,Q7W2G9,Q7WRD9,Q7YJX8,Q81J48,Q81VT8,Q822J1,Q82DQ5,Q82T75,Q82Z40,Q85BW1,Q85FM7,Q85FR7,Q85X54,Q87A32,Q87KQ4,Q889X8,Q88QP2,Q88XZ3,Q890N4,Q89B20,Q89J74,Q8A469,Q8CQ84,Q8D233,Q8DD20,Q8DL55,Q8DNF0,Q8DS46,Q8E239,Q8E7J8,Q8EK74,Q8ETY8,Q8EWX1,Q8F0S2,Q8FS97,Q8G069,Q8G514,Q8GCR3,Q8GCR4,Q8GCR5,Q8GCR6,Q8HVY5,Q8K8W3,Q8KG15,Q8KWX2,Q8KWX4,Q8MA12,Q8NT26,Q8P2Y3,Q8PC56,Q8PNT0,Q8R7U6,Q8RHI6,Q8RQE9,Q8S8X9,Q8UE08,Q8WI24,Q8XUZ8,Q8YHP8,Q8Z320,Q8ZAP5,Q92F22,Q92QH7,Q932F8,Q93GF2,Q93MK7,Q93MK8,Q93MK9,Q93R88,Q97EG9,Q97NQ7,Q98N66,Q98Q23,Q9A1U1,Q9AAU2,Q9AIU3,Q9BBS9,Q9CEN6,Q9CK91,Q9F3X8,Q9KJG4,Q9KJM5,Q9KK59,Q9KV30,Q9KW14,Q9KWU7,Q9L0L0,Q9L637,Q9MTM5,Q9MUS5,Q9PA86,Q9PQV6,Q9RH41,Q9RH43,Q9RLT9,Q9RQZ7,Q9RVV9,Q9TL06,Q9TM35,Q9X6Y1,Q9XPS7,Q9Z9A0,Q9Z9M2">rpoB</mark> gene during the <mark style="background-color:yellow;" id="GO:0007275,biological_process">development</mark> of <mark style="background-color:lightblue;" id="5381226">rifampin</mark> ( <mark style="background-color:lightgreen;" id="Q9HBH0">RIF</mark> ) resistance using an electrochemical genosensor.
18846462-1626	The decreased level of <mark style="background-color:lightblue;" id="124886">GSH</mark> as well as <mark style="background-color:lightgreen;" id="O12933,O22668,O75007,P24705,P51547,P93258,Q01137,Q27666,Q9SM64">SOD</mark> and <mark style="background-color:lightblue;" id="124886">GSH</mark>-Px activities in <mark style="background-color:lightblue;" id="3559">haloperidol</mark>-treated mice were significantly increased by NTA pretreatment.
18846552-1647	In the present study, rTHS was used to stabilize <mark style="background-color:lightblue;" id="5904">penicillin</mark> <mark style="background-color:lightgreen;" id="O69768,P22984,P27765,P95896">amidase</mark> (PGA) in <mark style="background-color:lightblue;" id="887,19314">methanol</mark>-water mixtures.
18824341-1648	Preincubation of airway epithelial cells with <mark style="background-color:lightblue;" id="446925">lycopene</mark> (dissolved in <mark style="background-color:lightblue;" id="8028">tetrahydrofuran</mark>) delivered <mark style="background-color:lightblue;" id="446925">lycopene</mark> into the cells and resulted in a 24% reduction in <mark style="background-color:lightgreen;" id="P41693">interleukin-6</mark> after rhinovirus-1B infection, 31% reduction in <mark style="background-color:lightgreen;" id="P02778,P17515,P48973">IP-10</mark> after rhinovirus-43 infection and 85% reduction in rhinovirus-1B replication.
18830228-1650	<mark style="background-color:lightgreen;" id="O27580,O28041,O58582,O60105,O66856,P0AB89,P0AB90,P12047,P21265,P30566,P44797,P52201,P54822,P56468,P57351,P72478,P74384,Q05911,Q21774,Q2FFI7,Q2G2S0,Q2YU66,Q49YV3,Q4L7M3,Q58339,Q5HEL4,Q5HN26,Q60Q90,Q6G825,Q6GFE9,Q7A0G9,Q7A4Q3,Q89AM3,Q8CRT6,Q8HXY5,Q8K9Q7,Q99SX9,Q9RSE6,Q9UZ99,Q9X0I0,Q9ZKA2">Adenylosuccinate lyase</mark> deficiency is a rare autosomal disorder of de novo <mark style="background-color:lightblue;" id="1044">purine</mark> synthesis, which results in the accumulation of succinylpurines in body fluids.
18830228-1651	Both patients had an increased <mark style="background-color:lightblue;" id="165243,20849086">succinyladenosine</mark>/SAICAr ratio of 1.6, and exhibited a novel homozygous missense mutation (c.674T&gt;C; p.Met225Thr) in the exon 6 of the <mark style="background-color:lightgreen;" id="P21265,P30566,Q8HXY5">ADSL</mark> gene.
18854840-1661	In addition, SAH caused large increases in markers of inflammation, including <mark style="background-color:lightgreen;" id="O35734,O77510,O77764,P01375,P04924,P06804,P13296,P16599,P19101,P23383,P23563,P29553,P33620,P36939,P48094,P51435,P51742,P51743,P59684,P59693,P59694,P59695,P79337,P79374,Q06599,Q19LH4,Q1G1A2,Q1WM27,Q2MH05,Q539C2,Q75N23,Q8HZD9,Q8JFG3,Q8MKG8,Q8WNR1,Q9BEA1">TNFalpha</mark> and NFkappaB, and markers of cell injury or <mark style="background-color:yellow;" id="GO:0008219,biological_process">cell death</mark> , including IgG <mark style="background-color:yellow;" id="GO:0006897,biological_process">endocytosis</mark> and caspase-3 activation, with <mark style="background-color:lightblue;" id="3488">glibenclamide</mark> significantly reducing these effects.
18854840-1662	We conclude that block of <mark style="background-color:lightgreen;" id="P33300,Q09428">SUR1</mark> by <mark style="background-color:lightblue;" id="3488">glibenclamide</mark> may ameliorate several pathologic effects associated with inflammation that lead to cortical dysfunction after SAH.
18822097-1667	This <mark style="background-color:lightgreen;" id="P13807,P13834,Q8MJ26">GYS1</mark> point mutation appears to cause a gain-of-function of the enzyme and to result in the accumulation of a <mark style="background-color:lightblue;" id="439177">glycogen</mark>-like, less-branched polysaccharide in skeletal muscle.
18838482-1670	The main source of <mark style="background-color:yellow;" id="GO:0005576,cellular_component">extracellular</mark> <mark style="background-color:lightblue;" id="60961">adenosine</mark> stems from a coordinated two-step enzymatic conversion of precursor nucleotides via the <mark style="background-color:lightgreen;" id="O18956,O75355,O93295,P49961,P55772,P97687,Q9MYU4">ecto-apyrase</mark> ( <mark style="background-color:lightgreen;" id="O18956,O93295,P49961,Q9MYU4">CD39</mark> ) and the <mark style="background-color:lightgreen;" id="P21588,P21589,Q05927,Q61503">ecto-5'-nucleotidase</mark> (CD73).
18838503-1683	In contrast, <mark style="background-color:lightgreen;" id="P10635,Q2XNC8,Q2XNC9">CYP2D6</mark> .24, <mark style="background-color:lightgreen;" id="P10635,Q2XNC8,Q2XNC9">CYP2D6</mark> .26, and <mark style="background-color:lightgreen;" id="P10635,Q2XNC8,Q2XNC9">CYP2D6</mark> .27 allelic isoforms all showed active drug-metabolizing activities toward both <mark style="background-color:lightblue;" id="5284371">codeine</mark> and <mark style="background-color:lightblue;" id="3008,5360696,5362449,12305042">dextromethorphan</mark> O-demethylation.
18838506-1689	Mechanism-based inactivation of <mark style="background-color:lightgreen;" id="P11712">cytochrome P450 2C9</mark> by <mark style="background-color:lightblue;" id="38409">tienilic acid</mark> and (+/-)-<mark style="background-color:lightblue;" id="5359">suprofen</mark>: a comparison of kinetics and probe substrate selection.
18838506-1690	In vitro experiments were conducted to compare k(inact), K(I) and inactivation efficiency (k(inact)/K(I)) of <mark style="background-color:lightgreen;" id="O08469">cytochrome P450</mark> (P450) 2C9 by <mark style="background-color:lightblue;" id="38409">tienilic acid</mark> and (+/-)-<mark style="background-color:lightblue;" id="5359">suprofen</mark> using (S)-flurbiprofen, diclofenac, and (S)-warfarin as reporter substrates.
